id;name;Goals;Input;Process;Output;Outcome;Num_Tasks;Structure;Fiscal_aut;Behav_aut;Establ;Atekst;aarsverk;Legal_aut
1155;Statistisk sentralbyrå;4;0;1;3;0;1;0;0;0;1;25311;981;1
1168;Konkurransetilsynet;10;0;3;3;4;0;0;0;8;1;3541;103,3;1
1193;Skattedirektoratet;62;0;1;61;0;1;1;0;0;1;2244;270,7;1
1337;Statsbygg;9;0;0;9;0;0;1;1;0;1;4657;382,1;1
1408;Toll- og avgiftsdirektoratet;33;0;0;25;2;1;1;0;0;1;7559;295;1
1535;Finanstilsynet;9;0;1;7;1;1;0;0;52;1;4514;253,8;1
1616;Direktoratet for økonomistyring;17;0;5;9;3;1;1;0;16;0;58;117,8;1
2012;Sjøfartsdirektoratet;106;1;82;19;3;1;1;0;0;1;2229;207,7;1
2012;Sjøfartsdirektoratet;14;0;2;4;6;1;1;0;46;1;2229;207,7;1
2609;Sysselmannen på Svalbard;66;2;41;15;8;1;0;0;26;1;2736;33,7;1
2610;Norsk Polarinstitutt;9;0;0;0;9;1;0;0;88;1;2938;153;0
2633;Norges geologiske undersøkelse;9;0;2;5;2;0;1;0;26;1;497;202;1
2813;Oljedirektoratet;6;0;0;1;5;1;0;0;32;1;3071;199,4;0
4700;Garantiinstituttet for eksportkreditt;6;1;0;0;2;0;0;1;2;1;190;58,5;0
5601;Forsvarets forskningsinstitutt;62;5;7;33;15;1;0;1;0;1;887;692,1;1
6621;Havforskningsinstituttet;4;0;0;1;3;0;0;0;29;1;2511;660,9;1
6801;Fiskeridirektoratet;12;0;5;4;3;1;1;0;31;1;3202;208,3;1
6802;Kystverket hovedkontoret;17;1;3;10;3;1;1;0;63;1;6832;123,1;1
7012;Statens helsetilsyn;11;0;6;0;5;1;0;0;19;1;6055;99,2;1
7671;Statens institutt for rusmiddelforskning;19;6;3;10;0;0;0;0;5;0;1533;40,2;1
7673;Nasjonalt folkehelseinstitutt;62;1;7;47;3;0;0;0;17;0;853;790,6;1
7674;Helsedirektoratet;121;4;9;70;27;1;1;0;120;0;11899;598,9;1
7806;Direktoratet for arbeidstilsynet;17;2;0;12;3;1;1;0;49;1;12446;111,1;1
7812;Trygderetten;8;0;4;4;0;0;0;0;0;1;420;68;1
7821;Bioteknologinemnda;22;0;0;18;4;0;0;0;0;1;640;5,8;0
7824;Forbrukerrådet;24;0;2;21;1;0;1;1;59;1;7923;54,7;0
8053;Statens havarikommisjon for transport;4;1;1;0;2;0;0;0;2;1;2812;38,5;1
8801;Vegdirektoratet;6;0;0;3;3;1;1;0;0;1;4657;616,5;1
8805;Post- og teletilsynet;7;0;1;5;1;0;1;0;33;1;4097;129,3;1
8808;Jernbaneverket;7;0;0;4;3;1;1;0;11;0;14561;167,8;1
9620;Statens arbeidsmiljøinstitutt;3;0;0;0;3;0;0;1;7;1;916;390,4;1
9628;Utlendingsnemnda;11;0;4;4;3;0;0;0;22;0;2814;331,1;1
9631;Husleietvistutvalget;19;1;3;8;1;0;0;0;2;0;44;18,9;1
9805;Direktoratet for byggkvalitet;27;1;3;20;3;1;0;0;4;1;69;55,9;0
9806;Utlendingsdirektoratet;21;0;10;7;4;0;1;0;52;1;5530;983,1;1
13514;Brønnøysundregistrene;10;0;1;6;3;1;0;0;0;1;2349;520,9;1
13655;Politidirektoratet;32;1;2;23;6;0;1;0;85;0;8363;159,6;1
13658;Domstoladministrasjonen;6;0;1;2;3;0;1;0;20;0;1171;86,1;1
13659;Direktoratet for samfunnssikkerhet og beredskap;108;0;44;51;9;1;1;0;9;0;4862;241,6;0
13669;Sekretariatet for konfliktrådene;20;0;7;7;6;0;1;0;5;0;724;13,8;1
13683;Kommisjonen for gjenopptakelse av straffesaker;4;0;0;1;3;0;0;0;8;0;3067;10,2;1
13693;Direktoratet for nødkommunikasjon;11;2;2;1;3;0;0;0;20;0;397;51;1
16405;Barneombudet;12;0;1;10;1;1;0;0;9;1;1970;16,9;0
16800;Departementenes servicesenter;17;2;6;7;1;1;0;0;0;1;745;535,9;1
18603;Barne-, ungdoms- og familiedirektoratet;35;3;5;19;8;1;1;0;0;0;561;215,9;1
18615;Likestillings- og diskrimineringsnemnda;5;0;1;3;1;0;0;0;0;0;125;6;1
19685;Reindriftsforvaltningen sentralt;7;1;0;4;1;1;1;0;25;1;341;20,9;0
19691;Mattilsynet - hovedkontoret;5;0;0;1;4;0;1;0;11;0;13562;145,1;1
19703;Bioforsk;9;0;0;4;5;0;1;1;40;0;2226;30,2;1
19714;Norsk institutt for skog og landskap;22;0;1;19;1;0;1;1;14;0;432;186,9;1
19814;Universitetet for miljø- og biovitenskap;16;4;2;6;4;0;0;1;3;1;1965;1000,7;1
20501;Klima- og forurensningsdirektoratet;31;0;0;11;17;1;1;0;135;1;3898;322,1;0
21522;Norsk kulturråd;4;0;0;1;2;1;0;0;11;1;2114;98,2;0
21523;Språkrådet;20;0;0;5;14;1;0;0;3;1;1509;116,9;1
21528;Riksantikvaren - direktoratet for kulturminneforvaltning;20;0;0;7;13;1;1;0;87;1;4547;150,7;1
21611;Nidaros Domkirkes Restaureringsarbeider;3;0;0;0;3;0;0;0;0;1;61;50,1;1
21618;Meteorologisk institutt;28;2;6;20;0;1;1;1;0;1;11177;269,3;1
21688;Statens lånekasse for utdanning;14;2;5;6;1;0;1;0;2;1;2674;203,5;1
21741;Kirkerådet;3;0;0;1;2;1;0;0;0;1;1737;65,8;1
25601;Norsk utenrikspolitisk institutt;11;2;2;6;1;0;0;1;0;1;3395;62;1
25602;Norsk institutt for forskning om oppvekst, velferd og aldring;6;3;1;1;1;0;0;1;0;0;770;81,2;1
25637;Opplysningsvesenets fond;5;0;1;3;0;0;0;1;0;0;701;47,5;1
25638;VOX, nasjonalt fagorgan for kompetansepolitikk;23;0;9;9;4;0;0;0;0;0;636;88;0
26603;Nasjonalbibliotekaren;30;1;21;4;4;1;1;0;0;1;1435;396;0
26611;Lotteri- og stiftelsestilsynet;25;0;17;4;1;0;1;0;0;0;552;14,8;1
31600;Enova SF;7;0;0;2;5;0;0;1;0;0;3591;55;0
31601;Gassnova SF;24;1;8;14;1;0;0;1;14;0;419;50;0
34604;Medietilsynet;26;0;3;6;17;1;0;0;0;0;2516;61,1;1
34606;Norsk filminstitutt;18;0;0;12;6;1;0;0;0;0;2107;92,5;0
37601;Pasientskadenemnda - sekretariatet;3;0;1;2;0;0;0;0;1;0;193;36,5;1
38602;Integrerings- og mangfoldsdirektoratet;34;0;2;26;5;1;1;0;0;0;1078;50,4;1
38612;Arbeids- og velferdsdirektoratet;24;0;2;19;3;1;1;0;27;0;28558;396,6;1
40601;Direktoratet for forvaltning og IKT;50;2;0;40;7;1;0;0;38;0;1009;215,2;1
52953;Vinmonopolet A/S;4;0;0;3;0;0;0;1;0;1;3851;1125;0
52972;Norsk Romsenter;19;0;3;8;3;0;0;1;0;1;429;32,4;0
53061;Petoro as;8;2;2;3;1;0;0;1;23;0;1927;64;0
56640;Senter for IKT i utdanningen;44;1;5;36;2;0;0;0;0;0;278;49,7;0
